record id,cluster id,confidence score,cluster type
febrl3-rec-664-dup-1,febrl3-cl-16,1.0,dup
febrl3-rec-664-org,febrl3-cl-16,1.0,dup
febrl3-rec-133-dup-0,febrl3-cl-17,1.0,dup
febrl3-rec-133-dup-1,febrl3-cl-17,1.0,dup
febrl3-rec-133-dup-2,febrl3-cl-17,1.0,dup
febrl3-rec-133-dup-3,febrl3-cl-17,1.0,dup
febrl3-rec-133-dup-4,febrl3-cl-17,1.0,dup
febrl3-rec-133-org,febrl3-cl-17,1.0,dup
febrl3-rec-1376-dup-0,febrl3-cl-18,1.0,dup
febrl3-rec-1376-org,febrl3-cl-18,1.0,dup
febrl3-rec-186-dup-0,febrl3-cl-19,1.0,dup
febrl3-rec-186-org,febrl3-cl-19,1.0,dup
febrl3-rec-677-dup-0,febrl3-cl-20,1.0,dup
febrl3-rec-677-org,febrl3-cl-20,1.0,dup
febrl3-rec-1012-dup-0,febrl3-cl-21,1.0,dup
febrl3-rec-1012-dup-1,febrl3-cl-21,1.0,dup
febrl3-rec-1012-dup-2,febrl3-cl-21,1.0,dup
febrl3-rec-1012-org,febrl3-cl-21,1.0,dup
febrl3-rec-1371-dup-0,febrl3-cl-22,1.0,dup
febrl3-rec-1371-org,febrl3-cl-22,1.0,dup
febrl3-rec-1562-dup-0,febrl3-cl-23,1.0,dup
febrl3-rec-1562-org,febrl3-cl-23,1.0,dup
febrl3-rec-1670-dup-0,febrl3-cl-24,1.0,dup
febrl3-rec-1670-dup-1,febrl3-cl-24,1.0,dup
febrl3-rec-1670-dup-2,febrl3-cl-24,0.9999999200319775,dup
febrl3-rec-1670-dup-3,febrl3-cl-24,1.0,dup
febrl3-rec-1670-dup-4,febrl3-cl-24,0.9999999200319775,dup
febrl3-rec-1670-org,febrl3-cl-24,1.0,dup
febrl3-rec-1725-dup-0,febrl3-cl-25,1.0,dup
febrl3-rec-1725-dup-1,febrl3-cl-25,1.0,dup
febrl3-rec-1725-dup-2,febrl3-cl-25,0.9999989604157076,dup
febrl3-rec-1725-dup-3,febrl3-cl-25,1.0,dup
febrl3-rec-1725-dup-4,febrl3-cl-25,0.9999989604157076,dup
febrl3-rec-1725-org,febrl3-cl-25,1.0,dup
febrl3-rec-314-dup-0,febrl3-cl-26,1.0,dup
febrl3-rec-314-dup-1,febrl3-cl-26,1.0,dup
febrl3-rec-314-org,febrl3-cl-26,1.0,dup
febrl3-rec-353-dup-0,febrl3-cl-27,1.0,dup
febrl3-rec-353-dup-1,febrl3-cl-27,1.0,dup
febrl3-rec-353-org,febrl3-cl-27,1.0,dup
febrl3-rec-1298-dup-0,febrl3-cl-28,1.0,dup
febrl3-rec-1298-dup-1,febrl3-cl-28,1.0,dup
febrl3-rec-1298-dup-2,febrl3-cl-28,1.0,dup
febrl3-rec-1298-dup-3,febrl3-cl-28,1.0,dup
febrl3-rec-1298-dup-4,febrl3-cl-28,1.0,dup
febrl3-rec-1298-org,febrl3-cl-28,1.0,dup
febrl3-rec-395-dup-0,febrl3-cl-29,1.0,dup
febrl3-rec-395-org,febrl3-cl-29,1.0,dup
febrl3-rec-601-dup-0,febrl3-cl-30,1.0,dup
febrl3-rec-601-dup-1,febrl3-cl-30,1.0,dup
febrl3-rec-601-dup-2,febrl3-cl-30,1.0,dup
febrl3-rec-601-org,febrl3-cl-30,1.0,dup
febrl3-rec-1608-dup-0,febrl3-cl-31,1.0,dup
febrl3-rec-1608-org,febrl3-cl-31,1.0,dup
febrl3-rec-1876-dup-0,febrl3-cl-32,1.0,dup
febrl3-rec-1876-org,febrl3-cl-32,1.0,dup
febrl3-rec-318-dup-0,febrl3-cl-33,1.0,dup
febrl3-rec-318-dup-1,febrl3-cl-33,1.0,dup
febrl3-rec-318-dup-2,febrl3-cl-33,1.0,dup
febrl3-rec-318-dup-3,febrl3-cl-33,1.0,dup
febrl3-rec-318-org,febrl3-cl-33,1.0,dup
febrl3-rec-1057-dup-0,febrl3-cl-34,1.0,dup
febrl3-rec-1057-dup-1,febrl3-cl-34,1.0,dup
febrl3-rec-1057-dup-2,febrl3-cl-34,1.0,dup
febrl3-rec-1057-org,febrl3-cl-34,1.0,dup
febrl3-rec-125-dup-0,febrl3-cl-35,1.0,dup
febrl3-rec-125-dup-1,febrl3-cl-35,1.0,dup
febrl3-rec-125-dup-2,febrl3-cl-35,1.0,dup
febrl3-rec-125-dup-3,febrl3-cl-35,1.0,dup
febrl3-rec-125-org,febrl3-cl-35,1.0,dup
febrl3-rec-1680-dup-0,febrl3-cl-36,1.0,dup
febrl3-rec-1680-dup-1,febrl3-cl-36,1.0,dup
febrl3-rec-1680-org,febrl3-cl-36,1.0,dup
febrl3-rec-732-dup-0,febrl3-cl-37,0.999982476234436,dup
febrl3-rec-732-dup-1,febrl3-cl-37,1.0,dup
febrl3-rec-732-dup-2,febrl3-cl-37,1.0,dup
febrl3-rec-732-dup-3,febrl3-cl-37,0.999982476234436,dup
febrl3-rec-732-org,febrl3-cl-37,1.0,dup
febrl3-rec-1852-dup-0,febrl3-cl-38,1.0,dup
febrl3-rec-1852-org,febrl3-cl-38,1.0,dup
febrl3-rec-1011-dup-0,febrl3-cl-39,1.0,dup
febrl3-rec-1011-dup-1,febrl3-cl-39,1.0,dup
febrl3-rec-1011-dup-2,febrl3-cl-39,1.0,dup
febrl3-rec-1011-org,febrl3-cl-39,1.0,dup
febrl3-rec-1475-dup-0,febrl3-cl-40,1.0,dup
febrl3-rec-1475-dup-1,febrl3-cl-40,1.0,dup
febrl3-rec-1475-org,febrl3-cl-40,1.0,dup
febrl3-rec-1597-dup-0,febrl3-cl-41,1.0,dup
febrl3-rec-1597-org,febrl3-cl-41,1.0,dup
febrl3-rec-332-dup-0,febrl3-cl-42,1.0,dup
febrl3-rec-332-dup-1,febrl3-cl-42,1.0,dup
febrl3-rec-332-dup-2,febrl3-cl-42,1.0,dup
febrl3-rec-332-dup-3,febrl3-cl-42,1.0,dup
febrl3-rec-332-dup-4,febrl3-cl-42,1.0,dup
febrl3-rec-332-org,febrl3-cl-42,1.0,dup
febrl3-rec-1105-dup-0,febrl3-cl-43,0.9999996902851807,dup
febrl3-rec-1105-dup-1,febrl3-cl-43,1.0,dup
febrl3-rec-1105-dup-2,febrl3-cl-43,0.9999996902851807,dup
febrl3-rec-1105-org,febrl3-cl-43,1.0,dup
febrl3-rec-1259-dup-0,febrl3-cl-44,1.0,dup
febrl3-rec-1259-org,febrl3-cl-44,1.0,dup
febrl3-rec-1716-dup-0,febrl3-cl-45,1.0,dup
febrl3-rec-1716-dup-1,febrl3-cl-45,1.0,dup
febrl3-rec-1716-dup-2,febrl3-cl-45,1.0,dup
febrl3-rec-1716-org,febrl3-cl-45,1.0,dup
febrl3-rec-667-dup-0,febrl3-cl-46,1.0,dup
febrl3-rec-667-org,febrl3-cl-46,1.0,dup
febrl3-rec-782-dup-0,febrl3-cl-47,1.0,dup
febrl3-rec-782-dup-1,febrl3-cl-47,1.0,dup
febrl3-rec-782-org,febrl3-cl-47,1.0,dup
febrl3-rec-1071-dup-0,febrl3-cl-48,1.0,dup
febrl3-rec-1071-dup-1,febrl3-cl-48,1.0,dup
febrl3-rec-1071-dup-2,febrl3-cl-48,1.0,dup
febrl3-rec-1071-dup-3,febrl3-cl-48,1.0,dup
febrl3-rec-1071-dup-4,febrl3-cl-48,1.0,dup
febrl3-rec-1071-org,febrl3-cl-48,1.0,dup
febrl3-rec-23-dup-0,febrl3-cl-49,1.0,dup
febrl3-rec-23-dup-1,febrl3-cl-49,1.0,dup
febrl3-rec-23-dup-2,febrl3-cl-49,1.0,dup
febrl3-rec-23-dup-3,febrl3-cl-49,1.0,dup
febrl3-rec-23-org,febrl3-cl-49,1.0,dup
febrl3-rec-517-dup-0,febrl3-cl-50,1.0,dup
febrl3-rec-517-dup-1,febrl3-cl-50,0.5527864045000421,dup
febrl3-rec-517-dup-2,febrl3-cl-50,1.0,dup
febrl3-rec-517-dup-3,febrl3-cl-50,0.999999840063955,dup
febrl3-rec-517-dup-4,febrl3-cl-50,0.5527864045000135,dup
febrl3-rec-517-org,febrl3-cl-50,1.0,dup
febrl3-rec-920-dup-0,febrl3-cl-51,1.0,dup
febrl3-rec-920-org,febrl3-cl-51,1.0,dup
febrl3-rec-1657-dup-0,febrl3-cl-52,1.0,dup
febrl3-rec-1657-dup-1,febrl3-cl-52,1.0,dup
febrl3-rec-1657-dup-2,febrl3-cl-52,1.0,dup
febrl3-rec-1657-dup-3,febrl3-cl-52,1.0,dup
febrl3-rec-1657-dup-4,febrl3-cl-52,1.0,dup
febrl3-rec-1657-org,febrl3-cl-52,1.0,dup
febrl3-rec-1584-dup-0,febrl3-cl-53,1.0,dup
febrl3-rec-1584-dup-1,febrl3-cl-53,1.0,dup
febrl3-rec-1584-dup-2,febrl3-cl-53,1.0,dup
febrl3-rec-1584-dup-3,febrl3-cl-53,1.0,dup
febrl3-rec-1584-org,febrl3-cl-53,1.0,dup
febrl3-rec-456-dup-0,febrl3-cl-54,1.0,dup
febrl3-rec-456-dup-1,febrl3-cl-54,1.0,dup
febrl3-rec-456-dup-2,febrl3-cl-54,1.0,dup
febrl3-rec-456-org,febrl3-cl-54,1.0,dup
febrl3-rec-850-dup-0,febrl3-cl-55,1.0,dup
febrl3-rec-850-org,febrl3-cl-55,1.0,dup
febrl3-rec-1907-dup-0,febrl3-cl-56,1.0,dup
febrl3-rec-1907-org,febrl3-cl-56,1.0,dup
febrl3-rec-1534-dup-0,febrl3-cl-57,1.0,dup
febrl3-rec-1534-dup-1,febrl3-cl-57,1.0,dup
febrl3-rec-1534-dup-2,febrl3-cl-57,1.0,dup
febrl3-rec-1534-dup-3,febrl3-cl-57,1.0,dup
febrl3-rec-1534-dup-4,febrl3-cl-57,1.0,dup
febrl3-rec-1534-org,febrl3-cl-57,1.0,dup
febrl3-rec-508-dup-0,febrl3-cl-58,1.0,dup
febrl3-rec-508-dup-1,febrl3-cl-58,1.0,dup
febrl3-rec-508-dup-2,febrl3-cl-58,1.0,dup
febrl3-rec-508-dup-3,febrl3-cl-58,0.9999999733439925,dup
febrl3-rec-508-dup-4,febrl3-cl-58,0.9999999733439925,dup
febrl3-rec-508-org,febrl3-cl-58,1.0,dup
febrl3-rec-659-dup-0,febrl3-cl-59,1.0,dup
febrl3-rec-659-dup-1,febrl3-cl-59,1.0,dup
febrl3-rec-659-org,febrl3-cl-59,1.0,dup
febrl3-rec-779-dup-0,febrl3-cl-60,1.0,dup
febrl3-rec-779-dup-1,febrl3-cl-60,1.0,dup
febrl3-rec-779-dup-2,febrl3-cl-60,1.0,dup
febrl3-rec-779-dup-3,febrl3-cl-60,1.0,dup
febrl3-rec-779-org,febrl3-cl-60,1.0,dup
febrl3-rec-1121-dup-0,febrl3-cl-61,1.0,dup
febrl3-rec-1121-org,febrl3-cl-61,1.0,dup
febrl3-rec-1182-dup-0,febrl3-cl-62,1.0,dup
febrl3-rec-1182-dup-1,febrl3-cl-62,1.0,dup
febrl3-rec-1182-dup-2,febrl3-cl-62,1.0,dup
febrl3-rec-1182-org,febrl3-cl-62,1.0,dup
febrl3-rec-1217-dup-0,febrl3-cl-63,1.0,dup
febrl3-rec-1217-dup-1,febrl3-cl-63,1.0,dup
febrl3-rec-1217-dup-2,febrl3-cl-63,1.0,dup
febrl3-rec-1217-dup-3,febrl3-cl-63,1.0,dup
febrl3-rec-1217-org,febrl3-cl-63,1.0,dup
febrl3-rec-1252-dup-0,febrl3-cl-64,1.0,dup
febrl3-rec-1252-org,febrl3-cl-64,1.0,dup
febrl3-rec-131-dup-0,febrl3-cl-65,1.0,dup
febrl3-rec-131-org,febrl3-cl-65,1.0,dup
febrl3-rec-143-dup-0,febrl3-cl-66,1.0,dup
febrl3-rec-143-dup-1,febrl3-cl-66,0.9999994924847374,dup
febrl3-rec-143-dup-2,febrl3-cl-66,0.999999240186883,dup
febrl3-rec-143-dup-3,febrl3-cl-66,0.9999994329721453,dup
febrl3-rec-143-org,febrl3-cl-66,1.0,dup
febrl3-rec-1630-dup-0,febrl3-cl-67,1.0,dup
febrl3-rec-1630-dup-1,febrl3-cl-67,1.0,dup
febrl3-rec-1630-org,febrl3-cl-67,1.0,dup
febrl3-rec-1945-dup-0,febrl3-cl-68,1.0,dup
febrl3-rec-1945-dup-1,febrl3-cl-68,1.0,dup
febrl3-rec-1945-dup-2,febrl3-cl-68,1.0,dup
febrl3-rec-1945-org,febrl3-cl-68,1.0,dup
febrl3-rec-1948-dup-0,febrl3-cl-69,1.0,dup
febrl3-rec-1948-org,febrl3-cl-69,1.0,dup
febrl3-rec-361-dup-0,febrl3-cl-70,1.0,dup
febrl3-rec-361-dup-1,febrl3-cl-70,1.0,dup
febrl3-rec-361-dup-2,febrl3-cl-70,1.0,dup
febrl3-rec-361-org,febrl3-cl-70,1.0,dup
febrl3-rec-412-dup-0,febrl3-cl-71,0.9999998735594545,dup
febrl3-rec-412-dup-1,febrl3-cl-71,1.0,dup
febrl3-rec-412-org,febrl3-cl-71,0.9999998735594545,dup
febrl3-rec-826-dup-0,febrl3-cl-72,0.999999463558197,dup
febrl3-rec-826-dup-1,febrl3-cl-72,1.0,dup
febrl3-rec-826-dup-2,febrl3-cl-72,0.9999944012071866,dup
febrl3-rec-826-dup-3,febrl3-cl-72,0.9999944269657135,dup
febrl3-rec-826-org,febrl3-cl-72,1.0,dup
febrl3-rec-885-dup-0,febrl3-cl-73,1.0,dup
febrl3-rec-885-dup-1,febrl3-cl-73,1.0,dup
febrl3-rec-885-dup-2,febrl3-cl-73,1.0,dup
febrl3-rec-885-dup-3,febrl3-cl-73,1.0,dup
febrl3-rec-885-dup-4,febrl3-cl-73,1.0,dup
febrl3-rec-885-org,febrl3-cl-73,1.0,dup
febrl3-rec-175-dup-0,febrl3-cl-74,1.0,dup
febrl3-rec-175-dup-1,febrl3-cl-74,1.0,dup
febrl3-rec-175-dup-2,febrl3-cl-74,1.0,dup
febrl3-rec-175-org,febrl3-cl-74,1.0,dup
febrl3-rec-1261-dup-0,febrl3-cl-75,1.0,dup
febrl3-rec-1261-dup-1,febrl3-cl-75,1.0,dup
febrl3-rec-1261-dup-2,febrl3-cl-75,1.0,dup
febrl3-rec-1261-org,febrl3-cl-75,1.0,dup
febrl3-rec-1404-dup-0,febrl3-cl-76,1.0,dup
febrl3-rec-1404-org,febrl3-cl-76,1.0,dup
febrl3-rec-1772-dup-0,febrl3-cl-77,1.0,dup
febrl3-rec-1772-dup-1,febrl3-cl-77,1.0,dup
febrl3-rec-1772-dup-2,febrl3-cl-77,1.0,dup
febrl3-rec-1772-org,febrl3-cl-77,1.0,dup
febrl3-rec-524-dup-0,febrl3-cl-78,1.0,dup
febrl3-rec-524-dup-1,febrl3-cl-78,0.9999999733439925,dup
febrl3-rec-524-dup-2,febrl3-cl-78,1.0,dup
febrl3-rec-524-dup-3,febrl3-cl-78,1.0,dup
febrl3-rec-524-dup-4,febrl3-cl-78,0.9999999733439925,dup
febrl3-rec-524-org,febrl3-cl-78,1.0,dup
febrl3-rec-755-dup-0,febrl3-cl-79,0.9999961800288854,dup
febrl3-rec-755-dup-1,febrl3-cl-79,0.9874395835949666,dup
febrl3-rec-755-dup-2,febrl3-cl-79,0.987439584175752,dup
febrl3-rec-755-org,febrl3-cl-79,1.0,dup
febrl3-rec-330-dup-0,febrl3-cl-80,1.0,dup
febrl3-rec-330-dup-1,febrl3-cl-80,1.0,dup
febrl3-rec-330-dup-2,febrl3-cl-80,1.0,dup
febrl3-rec-330-dup-3,febrl3-cl-80,1.0,dup
febrl3-rec-330-org,febrl3-cl-80,1.0,dup
febrl3-rec-10-dup-0,febrl3-cl-81,0.9999713685855885,dup
febrl3-rec-10-dup-1,febrl3-cl-81,0.9999713685855885,dup
febrl3-rec-10-dup-2,febrl3-cl-81,1.0,dup
febrl3-rec-10-org,febrl3-cl-81,1.0,dup
febrl3-rec-145-dup-0,febrl3-cl-82,1.0,dup
febrl3-rec-145-org,febrl3-cl-82,1.0,dup
febrl3-rec-1579-dup-0,febrl3-cl-83,1.0,dup
febrl3-rec-1579-dup-1,febrl3-cl-83,1.0,dup
febrl3-rec-1579-dup-2,febrl3-cl-83,1.0,dup
febrl3-rec-1579-dup-3,febrl3-cl-83,1.0,dup
febrl3-rec-1579-org,febrl3-cl-83,1.0,dup
febrl3-rec-16-dup-0,febrl3-cl-84,1.0,dup
febrl3-rec-16-org,febrl3-cl-84,1.0,dup
febrl3-rec-1632-dup-0,febrl3-cl-85,1.0,dup
febrl3-rec-1632-dup-1,febrl3-cl-85,1.0,dup
febrl3-rec-1632-org,febrl3-cl-85,1.0,dup
febrl3-rec-1820-dup-0,febrl3-cl-86,1.0,dup
febrl3-rec-1820-org,febrl3-cl-86,1.0,dup
febrl3-rec-230-dup-0,febrl3-cl-87,1.0,dup
febrl3-rec-230-dup-1,febrl3-cl-87,1.0,dup
febrl3-rec-230-org,febrl3-cl-87,1.0,dup
febrl3-rec-500-dup-0,febrl3-cl-88,1.0,dup
febrl3-rec-500-dup-1,febrl3-cl-88,1.0,dup
febrl3-rec-500-dup-2,febrl3-cl-88,1.0,dup
febrl3-rec-500-dup-3,febrl3-cl-88,1.0,dup
febrl3-rec-500-org,febrl3-cl-88,1.0,dup
febrl3-rec-7-dup-0,febrl3-cl-89,0.8088502851390047,dup
febrl3-rec-7-dup-1,febrl3-cl-89,1.0,dup
febrl3-rec-7-dup-2,febrl3-cl-89,0.8088405215223288,dup
febrl3-rec-7-dup-3,febrl3-cl-89,0.9980679750479282,dup
febrl3-rec-7-org,febrl3-cl-89,1.0,dup
febrl3-rec-257-dup-0,febrl3-cl-90,1.0,dup
febrl3-rec-257-org,febrl3-cl-90,1.0,dup
febrl3-rec-1830-dup-0,febrl3-cl-91,1.0,dup
febrl3-rec-1830-dup-1,febrl3-cl-91,1.0,dup
febrl3-rec-1830-dup-2,febrl3-cl-91,1.0,dup
febrl3-rec-1830-org,febrl3-cl-91,1.0,dup
febrl3-rec-1947-dup-0,febrl3-cl-92,1.0,dup
febrl3-rec-1947-dup-1,febrl3-cl-92,1.0,dup
febrl3-rec-1947-dup-2,febrl3-cl-92,1.0,dup
febrl3-rec-1947-dup-3,febrl3-cl-92,1.0,dup
febrl3-rec-1947-dup-4,febrl3-cl-92,1.0,dup
febrl3-rec-1947-org,febrl3-cl-92,1.0,dup
febrl3-rec-1528-dup-0,febrl3-cl-93,1.0,dup
febrl3-rec-1528-org,febrl3-cl-93,1.0,dup
febrl3-rec-1769-dup-0,febrl3-cl-94,1.0,dup
febrl3-rec-1769-dup-1,febrl3-cl-94,1.0,dup
febrl3-rec-1769-dup-2,febrl3-cl-94,1.0,dup
febrl3-rec-1769-dup-3,febrl3-cl-94,1.0,dup
febrl3-rec-1769-dup-4,febrl3-cl-94,1.0,dup
febrl3-rec-1769-org,febrl3-cl-94,1.0,dup
febrl3-rec-214-dup-0,febrl3-cl-95,1.0,dup
febrl3-rec-214-org,febrl3-cl-95,1.0,dup
febrl3-rec-29-dup-0,febrl3-cl-96,1.0,dup
febrl3-rec-29-dup-1,febrl3-cl-96,1.0,dup
febrl3-rec-29-dup-2,febrl3-cl-96,1.0,dup
febrl3-rec-29-dup-3,febrl3-cl-96,1.0,dup
febrl3-rec-29-dup-4,febrl3-cl-96,1.0,dup
febrl3-rec-29-org,febrl3-cl-96,1.0,dup
febrl3-rec-491-dup-0,febrl3-cl-97,1.0,dup
febrl3-rec-491-dup-1,febrl3-cl-97,1.0,dup
febrl3-rec-491-org,febrl3-cl-97,1.0,dup
febrl3-rec-838-dup-0,febrl3-cl-98,0.9999979138374329,dup
febrl3-rec-838-dup-1,febrl3-cl-98,0.9999979138374329,dup
febrl3-rec-838-dup-2,febrl3-cl-98,1.0,dup
febrl3-rec-838-dup-3,febrl3-cl-98,1.0,dup
febrl3-rec-838-org,febrl3-cl-98,1.0,dup
febrl3-rec-174-dup-0,febrl3-cl-99,1.0,dup
febrl3-rec-174-org,febrl3-cl-99,1.0,dup
febrl3-rec-28-dup-0,febrl3-cl-100,1.0,dup
febrl3-rec-28-dup-1,febrl3-cl-100,1.0,dup
febrl3-rec-28-dup-2,febrl3-cl-100,1.0,dup
febrl3-rec-28-dup-3,febrl3-cl-100,1.0,dup
febrl3-rec-28-dup-4,febrl3-cl-100,1.0,dup
febrl3-rec-28-org,febrl3-cl-100,1.0,dup
febrl3-rec-928-dup-0,febrl3-cl-101,1.0,dup
febrl3-rec-928-dup-1,febrl3-cl-101,1.0,dup
febrl3-rec-928-org,febrl3-cl-101,1.0,dup
febrl3-rec-1564-dup-0,febrl3-cl-102,1.0,dup
febrl3-rec-1564-dup-1,febrl3-cl-102,1.0,dup
febrl3-rec-1564-dup-2,febrl3-cl-102,1.0,dup
febrl3-rec-1564-org,febrl3-cl-102,1.0,dup
febrl3-rec-1041-dup-0,febrl3-cl-103,1.0,dup
febrl3-rec-1041-org,febrl3-cl-103,1.0,dup
febrl3-rec-1114-dup-0,febrl3-cl-104,1.0,dup
febrl3-rec-1114-dup-1,febrl3-cl-104,1.0,dup
febrl3-rec-1114-dup-2,febrl3-cl-104,1.0,dup
febrl3-rec-1114-dup-3,febrl3-cl-104,1.0,dup
febrl3-rec-1114-org,febrl3-cl-104,1.0,dup
febrl3-rec-1334-dup-0,febrl3-cl-105,1.0,dup
febrl3-rec-1334-dup-1,febrl3-cl-105,1.0,dup
febrl3-rec-1334-dup-2,febrl3-cl-105,1.0,dup
febrl3-rec-1334-org,febrl3-cl-105,1.0,dup
febrl3-rec-1801-dup-0,febrl3-cl-106,1.0,dup
febrl3-rec-1801-dup-1,febrl3-cl-106,1.0,dup
febrl3-rec-1801-org,febrl3-cl-106,1.0,dup
febrl3-rec-1910-dup-0,febrl3-cl-107,1.0,dup
febrl3-rec-1910-dup-1,febrl3-cl-107,1.0,dup
febrl3-rec-1910-org,febrl3-cl-107,1.0,dup
febrl3-rec-1975-dup-0,febrl3-cl-108,1.0,dup
febrl3-rec-1975-dup-1,febrl3-cl-108,1.0,dup
febrl3-rec-1975-dup-2,febrl3-cl-108,1.0,dup
febrl3-rec-1975-dup-3,febrl3-cl-108,1.0,dup
febrl3-rec-1975-org,febrl3-cl-108,1.0,dup
febrl3-rec-581-dup-0,febrl3-cl-109,1.0,dup
febrl3-rec-581-dup-1,febrl3-cl-109,1.0,dup
febrl3-rec-581-dup-2,febrl3-cl-109,1.0,dup
febrl3-rec-581-org,febrl3-cl-109,1.0,dup
febrl3-rec-655-dup-0,febrl3-cl-110,1.0,dup
febrl3-rec-655-dup-1,febrl3-cl-110,1.0,dup
febrl3-rec-655-dup-2,febrl3-cl-110,1.0,dup
febrl3-rec-655-dup-3,febrl3-cl-110,1.0,dup
febrl3-rec-655-dup-4,febrl3-cl-110,1.0,dup
febrl3-rec-655-org,febrl3-cl-110,1.0,dup
febrl3-rec-1427-dup-0,febrl3-cl-111,1.0,dup
febrl3-rec-1427-dup-1,febrl3-cl-111,1.0,dup
febrl3-rec-1427-org,febrl3-cl-111,1.0,dup
febrl3-rec-1566-dup-0,febrl3-cl-112,1.0,dup
febrl3-rec-1566-dup-1,febrl3-cl-112,1.0,dup
febrl3-rec-1566-dup-2,febrl3-cl-112,1.0,dup
febrl3-rec-1566-dup-3,febrl3-cl-112,1.0,dup
febrl3-rec-1566-org,febrl3-cl-112,1.0,dup
febrl3-rec-1800-dup-0,febrl3-cl-113,1.0,dup
febrl3-rec-1800-dup-1,febrl3-cl-113,1.0,dup
febrl3-rec-1800-dup-2,febrl3-cl-113,1.0,dup
febrl3-rec-1800-dup-3,febrl3-cl-113,1.0,dup
febrl3-rec-1800-org,febrl3-cl-113,1.0,dup
febrl3-rec-721-dup-0,febrl3-cl-114,1.0,dup
febrl3-rec-721-org,febrl3-cl-114,1.0,dup
febrl3-rec-721-dup-1,febrl3-cl-115,1.0,dup
febrl3-rec-721-dup-2,febrl3-cl-115,1.0,dup
febrl3-rec-721-dup-3,febrl3-cl-115,1.0,dup
febrl3-rec-1646-dup-0,febrl3-cl-116,1.0,dup
febrl3-rec-1646-dup-1,febrl3-cl-116,1.0,dup
febrl3-rec-1646-dup-2,febrl3-cl-116,1.0,dup
febrl3-rec-1646-org,febrl3-cl-116,1.0,dup
febrl3-rec-993-dup-0,febrl3-cl-117,1.0,dup
febrl3-rec-993-dup-1,febrl3-cl-117,0.9999998771218769,dup
febrl3-rec-993-dup-2,febrl3-cl-117,0.9999999105930328,dup
febrl3-rec-993-dup-4,febrl3-cl-117,0.9999999403953552,dup
febrl3-rec-993-org,febrl3-cl-117,0.9999999403953552,dup
