"record_set_num","block_id","record_id"
"2","26","febrl4b-rec-1826-dup-0"
"1","27","febrl4a-rec-780-org"
"2","27","febrl4b-rec-780-dup-0"
"1","28","febrl4a-rec-85-org"
"2","28","febrl4b-rec-85-dup-0"
"1","29","febrl4a-rec-201-org"
"2","29","febrl4b-rec-201-dup-0"
"1","30","febrl4a-rec-4878-org"
"2","30","febrl4b-rec-4878-dup-0"
"1","31","febrl4a-rec-4098-org"
"2","31","febrl4b-rec-4098-dup-0"
"1","32","febrl4a-rec-2330-org"
"2","32","febrl4b-rec-2330-dup-0"
"1","33","febrl4a-rec-4663-org"
"2","33","febrl4b-rec-4663-dup-0"
"1","34","febrl4a-rec-214-org"
"2","34","febrl4b-rec-214-dup-0"
"1","35","febrl4a-rec-537-org"
"2","35","febrl4b-rec-537-dup-0"
"1","36","febrl4a-rec-485-org"
"2","36","febrl4b-rec-485-dup-0"
"1","37","febrl4a-rec-2492-org"
"2","37","febrl4b-rec-2492-dup-0"
"1","38","febrl4a-rec-2492-org"
"2","38","febrl4b-rec-398-dup-0"
"1","39","febrl4a-rec-2950-org"
"2","39","febrl4b-rec-2950-dup-0"
"1","40","febrl4a-rec-417-org"
"2","40","febrl4b-rec-417-dup-0"
"1","41","febrl4a-rec-2189-org"
"2","41","febrl4b-rec-2189-dup-0"
"1","42","febrl4a-rec-2581-org"
"2","42","febrl4b-rec-2581-dup-0"
"1","43","febrl4a-rec-3095-org"
"2","43","febrl4b-rec-3095-dup-0"
"1","44","febrl4a-rec-1744-org"
"2","44","febrl4b-rec-1744-dup-0"
"1","45","febrl4a-rec-1234-org"
"2","45","febrl4b-rec-1234-dup-0"
"1","46","febrl4a-rec-3054-org"
"2","46","febrl4b-rec-3054-dup-0"
"1","47","febrl4a-rec-1611-org"
"2","47","febrl4b-rec-1611-dup-0"
"1","48","febrl4a-rec-2319-org"
"2","48","febrl4b-rec-2319-dup-0"
"1","49","febrl4a-rec-1271-org"
"2","49","febrl4b-rec-1271-dup-0"
"1","50","febrl4a-rec-555-org"
"2","50","febrl4b-rec-555-dup-0"
"1","51","febrl4a-rec-299-org"
"2","51","febrl4b-rec-299-dup-0"
"1","52","febrl4a-rec-3556-org"
"2","52","febrl4b-rec-3556-dup-0"
"1","53","febrl4a-rec-1627-org"
"2","53","febrl4b-rec-1627-dup-0"
"1","54","febrl4a-rec-4291-org"
"2","54","febrl4b-rec-4291-dup-0"
"1","55","febrl4a-rec-4291-org"
"2","55","febrl4b-rec-2757-dup-0"
"1","56","febrl4a-rec-1155-org"
"2","56","febrl4b-rec-1155-dup-0"
"1","57","febrl4a-rec-4659-org"
"2","57","febrl4b-rec-4659-dup-0"
"1","58","febrl4a-rec-4269-org"
"2","58","febrl4b-rec-4269-dup-0"
"1","59","febrl4a-rec-4269-org"
"2","59","febrl4b-rec-3726-dup-0"
"1","60","febrl4a-rec-1185-org"
"2","60","febrl4b-rec-1185-dup-0"
"1","61","febrl4a-rec-1185-org"
"2","61","febrl4b-rec-2391-dup-0"
"1","62","febrl4a-rec-2439-org"
"2","62","febrl4b-rec-2439-dup-0"
"1","63","febrl4a-rec-2544-org"
"2","63","febrl4b-rec-2544-dup-0"
"1","64","febrl4a-rec-4891-org"
"2","64","febrl4b-rec-4891-dup-0"
"1","65","febrl4a-rec-1459-org"
"2","65","febrl4b-rec-1459-dup-0"
"1","66","febrl4a-rec-1952-org"
"2","66","febrl4b-rec-1952-dup-0"
"1","67","febrl4a-rec-3674-org"
"2","67","febrl4b-rec-3674-dup-0"
"1","68","febrl4a-rec-4054-org"
"2","68","febrl4b-rec-4054-dup-0"
"1","69","febrl4a-rec-4484-org"
"2","69","febrl4b-rec-4484-dup-0"
"1","70","febrl4a-rec-4484-org"
"2","70","febrl4b-rec-2181-dup-0"
"1","71","febrl4a-rec-2495-org"
"2","71","febrl4b-rec-2495-dup-0"
"1","72","febrl4a-rec-2495-org"
"2","72","febrl4b-rec-4992-dup-0"
"1","73","febrl4a-rec-1157-org"
"2","73","febrl4b-rec-1157-dup-0"
"1","74","febrl4a-rec-3472-org"
"2","74","febrl4b-rec-3472-dup-0"
"1","75","febrl4a-rec-1150-org"
"2","75","febrl4b-rec-1150-dup-0"
"1","76","febrl4a-rec-4410-org"
"2","76","febrl4b-rec-4410-dup-0"
"1","77","febrl4a-rec-4410-org"
"2","77","febrl4b-rec-1621-dup-0"
"1","78","febrl4a-rec-4410-org"
"2","78","febrl4b-rec-2250-dup-0"
"1","79","febrl4a-rec-3964-org"
"2","79","febrl4b-rec-3964-dup-0"
"1","80","febrl4a-rec-3020-org"
"2","80","febrl4b-rec-3020-dup-0"
"1","81","febrl4a-rec-2115-org"
"2","81","febrl4b-rec-2115-dup-0"
"1","82","febrl4a-rec-2432-org"
"2","82","febrl4b-rec-2432-dup-0"
"1","83","febrl4a-rec-2740-org"
"2","83","febrl4b-rec-2740-dup-0"
"1","84","febrl4a-rec-2740-org"
"2","84","febrl4b-rec-2849-dup-0"
"1","85","febrl4a-rec-4792-org"
"2","85","febrl4b-rec-4792-dup-0"
"1","86","febrl4a-rec-4792-org"
"2","86","febrl4b-rec-1073-dup-0"
"1","87","febrl4a-rec-3756-org"
"2","87","febrl4b-rec-3756-dup-0"
"1","88","febrl4a-rec-215-org"
"2","88","febrl4b-rec-215-dup-0"
"1","89","febrl4a-rec-215-org"
"2","89","febrl4b-rec-1959-dup-0"
"1","90","febrl4a-rec-391-org"
"2","90","febrl4b-rec-391-dup-0"
"1","91","febrl4a-rec-3897-org"
"2","91","febrl4b-rec-3897-dup-0"
"1","92","febrl4a-rec-18-org"
"2","92","febrl4b-rec-18-dup-0"
"1","93","febrl4a-rec-3590-org"
"2","93","febrl4b-rec-3590-dup-0"
"1","94","febrl4a-rec-3327-org"
"2","94","febrl4b-rec-3327-dup-0"
"1","95","febrl4a-rec-3798-org"
"2","95","febrl4b-rec-3798-dup-0"
"1","96","febrl4a-rec-2686-org"
"2","96","febrl4b-rec-2686-dup-0"
"1","97","febrl4a-rec-1807-org"
"2","97","febrl4b-rec-1807-dup-0"
"1","98","febrl4a-rec-1506-org"
"2","98","febrl4b-rec-1506-dup-0"
"1","99","febrl4a-rec-1614-org"
"2","99","febrl4b-rec-1614-dup-0"
"1","100","febrl4a-rec-1614-org"
"2","100","febrl4b-rec-2412-dup-0"
"1","101","febrl4a-rec-1614-org"
"2","101","febrl4b-rec-3597-dup-0"
"1","102","febrl4a-rec-2813-org"
"2","102","febrl4b-rec-2813-dup-0"
"1","103","febrl4a-rec-1362-org"
"2","103","febrl4b-rec-1362-dup-0"
"1","104","febrl4a-rec-2011-org"
"2","104","febrl4b-rec-2011-dup-0"
"1","105","febrl4a-rec-2011-org"
"2","105","febrl4b-rec-1479-dup-0"
"1","106","febrl4a-rec-4825-org"
"2","106","febrl4b-rec-4825-dup-0"
"1","107","febrl4a-rec-1483-org"
"2","107","febrl4b-rec-1483-dup-0"
"1","108","febrl4a-rec-3075-org"
"2","108","febrl4b-rec-3075-dup-0"
"1","109","febrl4a-rec-2010-org"
"2","109","febrl4b-rec-2010-dup-0"
"1","110","febrl4a-rec-4548-org"
"2","110","febrl4b-rec-4548-dup-0"
"1","111","febrl4a-rec-1996-org"
"2","111","febrl4b-rec-1996-dup-0"
"1","112","febrl4a-rec-1373-org"
"2","112","febrl4b-rec-1373-dup-0"
"1","113","febrl4a-rec-3232-org"
"2","113","febrl4b-rec-3232-dup-0"
"1","114","febrl4a-rec-1007-org"
"2","114","febrl4b-rec-1007-dup-0"
"1","115","febrl4a-rec-3540-org"
"2","115","febrl4b-rec-3540-dup-0"
"1","116","febrl4a-rec-4964-org"
"2","116","febrl4b-rec-4964-dup-0"
"1","117","febrl4a-rec-871-org"
"2","117","febrl4b-rec-871-dup-0"
"1","118","febrl4a-rec-4352-org"
"2","118","febrl4b-rec-4352-dup-0"
"1","119","febrl4a-rec-3036-org"
"2","119","febrl4b-rec-4724-dup-0"
"1","120","febrl4a-rec-3036-org"
"2","120","febrl4b-rec-3036-dup-0"
"1","121","febrl4a-rec-902-org"
"2","121","febrl4b-rec-902-dup-0"
"1","122","febrl4a-rec-842-org"
"2","122","febrl4b-rec-842-dup-0"
"1","123","febrl4a-rec-899-org"
"2","123","febrl4b-rec-899-dup-0"
"1","124","febrl4a-rec-655-org"
"2","124","febrl4b-rec-655-dup-0"
"1","125","febrl4a-rec-655-org"
"2","125","febrl4b-rec-438-dup-0"
"1","126","febrl4a-rec-2032-org"
"2","126","febrl4b-rec-2032-dup-0"
"1","127","febrl4a-rec-2547-org"
"2","127","febrl4b-rec-2547-dup-0"
"1","128","febrl4a-rec-2547-org"
"2","128","febrl4b-rec-4938-dup-0"
"1","129","febrl4a-rec-3985-org"
"2","129","febrl4b-rec-3985-dup-0"
"1","130","febrl4a-rec-2461-org"
"2","130","febrl4b-rec-2461-dup-0"
"1","131","febrl4a-rec-1834-org"
"2","131","febrl4b-rec-1834-dup-0"
"1","132","febrl4a-rec-1602-org"
"2","132","febrl4b-rec-1602-dup-0"
"1","133","febrl4a-rec-1165-org"
"2","133","febrl4b-rec-1165-dup-0"
"1","134","febrl4a-rec-4553-org"
"2","134","febrl4b-rec-4553-dup-0"
"1","135","febrl4a-rec-61-org"
"2","135","febrl4b-rec-61-dup-0"
"1","136","febrl4a-rec-93-org"
"2","136","febrl4b-rec-93-dup-0"
"1","137","febrl4a-rec-1394-org"
"2","137","febrl4b-rec-1394-dup-0"
"1","138","febrl4a-rec-515-org"
"2","138","febrl4b-rec-515-dup-0"
"1","139","febrl4a-rec-515-org"
"2","139","febrl4b-rec-2800-dup-0"
"1","140","febrl4a-rec-4904-org"
"2","140","febrl4b-rec-4904-dup-0"
"1","141","febrl4a-rec-2103-org"
"2","141","febrl4b-rec-2103-dup-0"
"1","142","febrl4a-rec-3186-org"
"2","142","febrl4b-rec-3186-dup-0"
"1","143","febrl4a-rec-4096-org"
"2","143","febrl4b-rec-4096-dup-0"
"1","144","febrl4a-rec-4096-org"
"2","144","febrl4b-rec-4664-dup-0"
"1","145","febrl4a-rec-488-org"
"2","145","febrl4b-rec-488-dup-0"
"1","146","febrl4a-rec-4846-org"
"2","146","febrl4b-rec-4846-dup-0"
"1","147","febrl4a-rec-3463-org"
"2","147","febrl4b-rec-3463-dup-0"
"1","148","febrl4a-rec-2276-org"
"2","148","febrl4b-rec-2276-dup-0"
"1","149","febrl4a-rec-2276-org"
"2","149","febrl4b-rec-917-dup-0"
"1","150","febrl4a-rec-4934-org"
"2","150","febrl4b-rec-4934-dup-0"
"1","151","febrl4a-rec-796-org"
"2","151","febrl4b-rec-796-dup-0"
"1","152","febrl4a-rec-3940-org"
"2","152","febrl4b-rec-3940-dup-0"
"1","153","febrl4a-rec-474-org"
"2","153","febrl4b-rec-474-dup-0"
"1","154","febrl4a-rec-781-org"
"2","154","febrl4b-rec-781-dup-0"
"1","155","febrl4a-rec-4571-org"
"2","155","febrl4b-rec-4571-dup-0"
"1","156","febrl4a-rec-690-org"
"2","156","febrl4b-rec-690-dup-0"
"1","157","febrl4a-rec-2894-org"
"2","157","febrl4b-rec-2894-dup-0"
"1","158","febrl4a-rec-2501-org"
"2","158","febrl4b-rec-2501-dup-0"
"1","159","febrl4a-rec-1647-org"
"2","159","febrl4b-rec-1647-dup-0"
"1","160","febrl4a-rec-3932-org"
"2","160","febrl4b-rec-3932-dup-0"
"1","161","febrl4a-rec-1519-org"
"2","161","febrl4b-rec-1519-dup-0"
"1","162","febrl4a-rec-2017-org"
"2","162","febrl4b-rec-2017-dup-0"
"1","163","febrl4a-rec-209-org"
"2","163","febrl4b-rec-209-dup-0"
"1","164","febrl4a-rec-4197-org"
"2","164","febrl4b-rec-4197-dup-0"
"1","165","febrl4a-rec-312-org"
"2","165","febrl4b-rec-312-dup-0"
"1","166","febrl4a-rec-4505-org"
"2","166","febrl4b-rec-4505-dup-0"
"1","167","febrl4a-rec-4906-org"
"2","167","febrl4b-rec-4906-dup-0"
"1","168","febrl4a-rec-4906-org"
"2","168","febrl4b-rec-199-dup-0"
"1","169","febrl4a-rec-788-org"
"2","169","febrl4b-rec-788-dup-0"
"1","170","febrl4a-rec-4130-org"
"2","170","febrl4b-rec-4130-dup-0"
"1","171","febrl4a-rec-2652-org"
"2","171","febrl4b-rec-2652-dup-0"
"1","172","febrl4a-rec-1463-org"
"2","172","febrl4b-rec-1463-dup-0"
"1","173","febrl4a-rec-1517-org"
"2","173","febrl4b-rec-1517-dup-0"
"1","174","febrl4a-rec-3291-org"
"2","174","febrl4b-rec-3291-dup-0"
"1","175","febrl4a-rec-682-org"
"2","175","febrl4b-rec-682-dup-0"
"1","176","febrl4a-rec-2304-org"
"2","176","febrl4b-rec-2304-dup-0"
"1","177","febrl4a-rec-738-org"
"2","177","febrl4b-rec-738-dup-0"
"1","178","febrl4a-rec-666-org"
"2","178","febrl4b-rec-666-dup-0"
"1","179","febrl4a-rec-110-org"
"2","179","febrl4b-rec-110-dup-0"
"1","180","febrl4a-rec-881-org"
"2","180","febrl4b-rec-881-dup-0"
"1","181","febrl4a-rec-3226-org"
"2","181","febrl4b-rec-3226-dup-0"
"1","182","febrl4a-rec-1146-org"
"2","182","febrl4b-rec-1146-dup-0"
"1","183","febrl4a-rec-448-org"
"2","183","febrl4b-rec-448-dup-0"
"1","184","febrl4a-rec-448-org"
"2","184","febrl4b-rec-1393-dup-0"
"1","185","febrl4a-rec-448-org"
"2","185","febrl4b-rec-3069-dup-0"
"1","186","febrl4a-rec-4433-org"
"2","186","febrl4b-rec-4433-dup-0"
"1","187","febrl4a-rec-1750-org"
"2","187","febrl4b-rec-1750-dup-0"
"1","188","febrl4a-rec-3528-org"
"2","188","febrl4b-rec-3528-dup-0"
"1","189","febrl4a-rec-1743-org"
"2","189","febrl4b-rec-1743-dup-0"
"1","190","febrl4a-rec-3078-org"
"2","190","febrl4b-rec-3078-dup-0"
"1","191","febrl4a-rec-320-org"
"2","191","febrl4b-rec-320-dup-0"
"1","192","febrl4a-rec-2201-org"
"2","192","febrl4b-rec-2201-dup-0"
"1","193","febrl4a-rec-1545-org"
"2","193","febrl4b-rec-1545-dup-0"
"1","194","febrl4a-rec-4689-org"
"2","194","febrl4b-rec-4689-dup-0"
"1","195","febrl4a-rec-4762-org"
"2","195","febrl4b-rec-4762-dup-0"
"1","196","febrl4a-rec-2436-org"
"2","196","febrl4b-rec-2436-dup-0"
"1","197","febrl4a-rec-1080-org"
"2","197","febrl4b-rec-1080-dup-0"
"1","198","febrl4a-rec-3867-org"
"2","198","febrl4b-rec-3867-dup-0"
"1","199","febrl4a-rec-3774-org"
"2","199","febrl4b-rec-3774-dup-0"
"1","200","febrl4a-rec-3143-org"
"2","200","febrl4b-rec-3143-dup-0"
"1","201","febrl4a-rec-2479-org"
"2","201","febrl4b-rec-2479-dup-0"
"1","202","febrl4a-rec-2725-org"
"2","202","febrl4b-rec-2725-dup-0"
"1","203","febrl4a-rec-1066-org"
"2","203","febrl4b-rec-1066-dup-0"
"1","204","febrl4a-rec-3502-org"
"2","204","febrl4b-rec-3502-dup-0"
"1","205","febrl4a-rec-3502-org"
"2","205","febrl4b-rec-762-dup-0"
"1","206","febrl4a-rec-3715-org"
"2","206","febrl4b-rec-3715-dup-0"
"1","207","febrl4a-rec-4574-org"
"2","207","febrl4b-rec-4574-dup-0"
"1","208","febrl4a-rec-1656-org"
"2","208","febrl4b-rec-1656-dup-0"
"1","209","febrl4a-rec-207-org"
"2","209","febrl4b-rec-207-dup-0"
"1","210","febrl4a-rec-1619-org"
"2","210","febrl4b-rec-1619-dup-0"
"1","211","febrl4a-rec-198-org"
"2","211","febrl4b-rec-198-dup-0"
"1","212","febrl4a-rec-198-org"
"2","212","febrl4b-rec-4150-dup-0"
"1","213","febrl4a-rec-3889-org"
"2","213","febrl4b-rec-3889-dup-0"
"1","214","febrl4a-rec-1966-org"
"2","214","febrl4b-rec-1966-dup-0"
"1","215","febrl4a-rec-318-org"
"2","215","febrl4b-rec-318-dup-0"
"1","216","febrl4a-rec-2678-org"
"2","216","febrl4b-rec-2678-dup-0"
"1","217","febrl4a-rec-2557-org"
"2","217","febrl4b-rec-2557-dup-0"
"1","218","febrl4a-rec-413-org"
"2","218","febrl4b-rec-413-dup-0"
"1","219","febrl4a-rec-1075-org"
"2","219","febrl4b-rec-1075-dup-0"
"1","220","febrl4a-rec-1075-org"
"2","220","febrl4b-rec-4720-dup-0"
"1","221","febrl4a-rec-1843-org"
"2","221","febrl4b-rec-1843-dup-0"
"1","222","febrl4a-rec-2390-org"
"2","222","febrl4b-rec-2390-dup-0"
"1","223","febrl4a-rec-4152-org"
"2","223","febrl4b-rec-4152-dup-0"
"1","224","febrl4a-rec-1628-org"
"2","224","febrl4b-rec-1628-dup-0"
"1","225","febrl4a-rec-556-org"
"2","225","febrl4b-rec-556-dup-0"
"1","226","febrl4a-rec-1631-org"
"2","226","febrl4b-rec-1631-dup-0"
"1","227","febrl4a-rec-1768-org"
"2","227","febrl4b-rec-1768-dup-0"
"1","228","febrl4a-rec-1768-org"
"2","228","febrl4b-rec-1851-dup-0"
"1","229","febrl4a-rec-498-org"
"2","229","febrl4b-rec-498-dup-0"
"1","230","febrl4a-rec-2782-org"
"2","230","febrl4b-rec-2782-dup-0"
"1","231","febrl4a-rec-2565-org"
"2","231","febrl4b-rec-2565-dup-0"
"1","232","febrl4a-rec-4072-org"
"2","232","febrl4b-rec-4072-dup-0"
"1","233","febrl4a-rec-4544-org"
"2","233","febrl4b-rec-4239-dup-0"
"1","234","febrl4a-rec-4544-org"
"2","234","febrl4b-rec-4544-dup-0"
"1","235","febrl4a-rec-1935-org"
"2","235","febrl4b-rec-1935-dup-0"
"1","236","febrl4a-rec-1684-org"
"2","236","febrl4b-rec-1684-dup-0"
"1","237","febrl4a-rec-3603-org"
"2","237","febrl4b-rec-3603-dup-0"
"1","238","febrl4a-rec-1558-org"
"2","238","febrl4b-rec-1558-dup-0"
"1","239","febrl4a-rec-4604-org"
"2","239","febrl4b-rec-4604-dup-0"
"1","240","febrl4a-rec-617-org"
"2","240","febrl4b-rec-617-dup-0"
"1","241","febrl4a-rec-3484-org"
"2","241","febrl4b-rec-3484-dup-0"
"1","242","febrl4a-rec-744-org"
"2","242","febrl4b-rec-744-dup-0"
"1","243","febrl4a-rec-3712-org"
"2","243","febrl4b-rec-3712-dup-0"
"1","244","febrl4a-rec-1067-org"
"2","244","febrl4b-rec-1067-dup-0"
"1","245","febrl4a-rec-52-org"
"2","245","febrl4b-rec-52-dup-0"
"1","246","febrl4a-rec-3194-org"
"2","246","febrl4b-rec-3194-dup-0"
"1","247","febrl4a-rec-3188-org"
"2","247","febrl4b-rec-3188-dup-0"
"1","248","febrl4a-rec-2246-org"
"2","248","febrl4b-rec-2246-dup-0"
"1","249","febrl4a-rec-2875-org"
"2","249","febrl4b-rec-2875-dup-0"
"1","250","febrl4a-rec-2875-org"
"2","250","febrl4b-rec-347-dup-0"
"1","251","febrl4a-rec-2491-org"
"2","251","febrl4b-rec-2491-dup-0"
"1","252","febrl4a-rec-2995-org"
"2","252","febrl4b-rec-2995-dup-0"
"1","253","febrl4a-rec-2995-org"
"2","253","febrl4b-rec-1028-dup-0"
"1","254","febrl4a-rec-3509-org"
"2","254","febrl4b-rec-3509-dup-0"
"1","255","febrl4a-rec-683-org"
"2","255","febrl4b-rec-683-dup-0"
"1","256","febrl4a-rec-4353-org"
"2","256","febrl4b-rec-4353-dup-0"
"1","257","febrl4a-rec-667-org"
"2","257","febrl4b-rec-667-dup-0"
"1","258","febrl4a-rec-2666-org"
"2","258","febrl4b-rec-2666-dup-0"
"1","259","febrl4a-rec-3505-org"
"2","259","febrl4b-rec-3505-dup-0"
"1","260","febrl4a-rec-2514-org"
"2","260","febrl4b-rec-2514-dup-0"
"1","261","febrl4a-rec-2687-org"
"2","261","febrl4b-rec-2687-dup-0"
"1","262","febrl4a-rec-4369-org"
"2","262","febrl4b-rec-4369-dup-0"
"1","263","febrl4a-rec-4138-org"
"2","263","febrl4b-rec-4138-dup-0"
"1","264","febrl4a-rec-3697-org"
"2","264","febrl4b-rec-3697-dup-0"
"1","265","febrl4a-rec-4144-org"
"2","265","febrl4b-rec-4144-dup-0"
"1","266","febrl4a-rec-2529-org"
"2","266","febrl4b-rec-2529-dup-0"
"1","267","febrl4a-rec-4690-org"
"2","267","febrl4b-rec-4690-dup-0"
"1","268","febrl4a-rec-595-org"
"2","268","febrl4b-rec-595-dup-0"
"1","269","febrl4a-rec-3510-org"
"2","269","febrl4b-rec-3510-dup-0"
"1","270","febrl4a-rec-3510-org"
"2","270","febrl4b-rec-1008-dup-0"
"1","271","febrl4a-rec-2873-org"
"2","271","febrl4b-rec-2873-dup-0"
"1","272","febrl4a-rec-3661-org"
"2","272","febrl4b-rec-3661-dup-0"
"1","273","febrl4a-rec-3661-org"
"2","273","febrl4b-rec-1436-dup-0"
"1","274","febrl4a-rec-3351-org"
"2","274","febrl4b-rec-3351-dup-0"
"1","275","febrl4a-rec-1741-org"
"2","275","febrl4b-rec-1741-dup-0"
"1","276","febrl4a-rec-2306-org"
"2","276","febrl4b-rec-2306-dup-0"
"1","277","febrl4a-rec-3034-org"
"2","277","febrl4b-rec-3034-dup-0"
"1","278","febrl4a-rec-4297-org"
"2","278","febrl4b-rec-4297-dup-0"
"1","279","febrl4a-rec-2984-org"
"2","279","febrl4b-rec-2984-dup-0"
"1","280","febrl4a-rec-2371-org"
"2","280","febrl4b-rec-2371-dup-0"
"1","281","febrl4a-rec-1391-org"
"2","281","febrl4b-rec-1391-dup-0"
"1","282","febrl4a-rec-3615-org"
"2","282","febrl4b-rec-3615-dup-0"
"1","283","febrl4a-rec-1938-org"
"2","283","febrl4b-rec-1938-dup-0"
"1","284","febrl4a-rec-1938-org"
"2","284","febrl4b-rec-423-dup-0"
"1","285","febrl4a-rec-2839-org"
"2","285","febrl4b-rec-2839-dup-0"
"1","286","febrl4a-rec-3500-org"
"2","286","febrl4b-rec-3500-dup-0"
"1","287","febrl4a-rec-4687-org"
"2","287","febrl4b-rec-4687-dup-0"
"1","288","febrl4a-rec-3645-org"
"2","288","febrl4b-rec-3645-dup-0"
"1","289","febrl4a-rec-3319-org"
"2","289","febrl4b-rec-3319-dup-0"
"1","290","febrl4a-rec-2961-org"
"2","290","febrl4b-rec-2961-dup-0"
"1","291","febrl4a-rec-2-org"
"2","291","febrl4b-rec-2-dup-0"
"1","292","febrl4a-rec-4126-org"
"2","292","febrl4b-rec-4126-dup-0"
"1","293","febrl4a-rec-2827-org"
"2","293","febrl4b-rec-2827-dup-0"
"1","294","febrl4a-rec-308-org"
"2","294","febrl4b-rec-308-dup-0"
"1","295","febrl4a-rec-783-org"
"2","295","febrl4b-rec-783-dup-0"
"1","296","febrl4a-rec-1369-org"
"2","296","febrl4b-rec-1369-dup-0"
"1","297","febrl4a-rec-609-org"
"2","297","febrl4b-rec-609-dup-0"
"1","298","febrl4a-rec-609-org"
"2","298","febrl4b-rec-4071-dup-0"
"1","299","febrl4a-rec-4246-org"
"2","299","febrl4b-rec-4246-dup-0"
"1","300","febrl4a-rec-22-org"
"2","300","febrl4b-rec-22-dup-0"
"1","301","febrl4a-rec-3246-org"
"2","301","febrl4b-rec-3246-dup-0"
"1","302","febrl4a-rec-4222-org"
"2","302","febrl4b-rec-4222-dup-0"
"1","303","febrl4a-rec-4431-org"
"2","303","febrl4b-rec-4431-dup-0"
"1","304","febrl4a-rec-2760-org"
"2","304","febrl4b-rec-2760-dup-0"
"1","305","febrl4a-rec-2760-org"
"2","305","febrl4b-rec-1438-dup-0"
"1","306","febrl4a-rec-1284-org"
"2","306","febrl4b-rec-1284-dup-0"
"1","307","febrl4a-rec-1284-org"
"2","307","febrl4b-rec-2210-dup-0"
"1","308","febrl4a-rec-1446-org"
"2","308","febrl4b-rec-1446-dup-0"
"1","309","febrl4a-rec-3664-org"
"2","309","febrl4b-rec-3664-dup-0"
"1","310","febrl4a-rec-3664-org"
"2","310","febrl4b-rec-1811-dup-0"
"1","311","febrl4a-rec-3007-org"
"2","311","febrl4b-rec-3007-dup-0"
"1","312","febrl4a-rec-121-org"
"2","312","febrl4b-rec-121-dup-0"
"1","313","febrl4a-rec-4783-org"
"2","313","febrl4b-rec-4783-dup-0"
"1","314","febrl4a-rec-4783-org"
"2","314","febrl4b-rec-4416-dup-0"
"1","315","febrl4a-rec-1229-org"
"2","315","febrl4b-rec-1229-dup-0"
"1","316","febrl4a-rec-4941-org"
"2","316","febrl4b-rec-4941-dup-0"
"1","317","febrl4a-rec-2870-org"
"2","317","febrl4b-rec-2870-dup-0"
"1","318","febrl4a-rec-1331-org"
"2","318","febrl4b-rec-1331-dup-0"
"1","319","febrl4a-rec-3803-org"
"2","319","febrl4b-rec-3803-dup-0"
"1","320","febrl4a-rec-16-org"
"2","320","febrl4b-rec-16-dup-0"
"1","321","febrl4a-rec-16-org"
"2","321","febrl4b-rec-1991-dup-0"
"1","322","febrl4a-rec-4364-org"
"2","322","febrl4b-rec-4364-dup-0"
"1","323","febrl4a-rec-3029-org"
"2","323","febrl4b-rec-3029-dup-0"
"1","324","febrl4a-rec-23-org"
"2","324","febrl4b-rec-23-dup-0"
"1","325","febrl4a-rec-3754-org"
"2","325","febrl4b-rec-3754-dup-0"
"1","326","febrl4a-rec-1641-org"
"2","326","febrl4b-rec-1641-dup-0"
"1","327","febrl4a-rec-1641-org"
"2","327","febrl4b-rec-3970-dup-0"
"1","328","febrl4a-rec-4627-org"
