record id 1,record id 2,label
febrl4a-rec-2771-org,febrl4b-rec-1000-dup-0,distinct
febrl4a-rec-3212-org,febrl4b-rec-2921-dup-0,distinct
febrl4a-rec-3552-org,febrl4b-rec-1167-dup-0,distinct
febrl4a-rec-1891-org,febrl4b-rec-4551-dup-0,distinct
febrl4a-rec-4418-org,febrl4b-rec-4143-dup-0,distinct
febrl4a-rec-4747-org,febrl4b-rec-3308-dup-0,distinct
febrl4a-rec-1979-org,febrl4b-rec-3322-dup-0,distinct
febrl4a-rec-3723-org,febrl4b-rec-3220-dup-0,distinct
febrl4a-rec-1455-org,febrl4b-rec-2430-dup-0,distinct
febrl4a-rec-2951-org,febrl4b-rec-3108-dup-0,distinct
febrl4a-rec-2616-org,febrl4b-rec-3183-dup-0,distinct
febrl4a-rec-3957-org,febrl4b-rec-3530-dup-0,distinct
febrl4a-rec-1012-org,febrl4b-rec-959-dup-0,distinct
febrl4a-rec-1216-org,febrl4b-rec-1451-dup-0,distinct
febrl4a-rec-1095-org,febrl4b-rec-1095-dup-0,match
febrl4a-rec-1778-org,febrl4b-rec-1778-dup-0,match
febrl4a-rec-1770-org,febrl4b-rec-1770-dup-0,match
febrl4a-rec-931-org,febrl4b-rec-931-dup-0,match
febrl4a-rec-4937-org,febrl4b-rec-4937-dup-0,match
febrl4a-rec-4779-org,febrl4b-rec-4779-dup-0,match
febrl4a-rec-2937-org,febrl4b-rec-2937-dup-0,match
febrl4a-rec-3937-org,febrl4b-rec-3937-dup-0,match
febrl4a-rec-190-org,febrl4b-rec-190-dup-0,match
febrl4a-rec-3501-org,febrl4b-rec-3501-dup-0,match
febrl4a-rec-1479-org,febrl4b-rec-1479-dup-0,match
febrl4a-rec-3064-org,febrl4b-rec-3064-dup-0,match
febrl4a-rec-2065-org,febrl4b-rec-2065-dup-0,match
febrl4a-rec-4071-org,febrl4b-rec-4071-dup-0,match
febrl4a-rec-2350-org,febrl4b-rec-2350-dup-0,match
febrl4a-rec-2126-org,febrl4b-rec-2126-dup-0,match
febrl4a-rec-2437-org,febrl4b-rec-2437-dup-0,match
febrl4a-rec-2784-org,febrl4b-rec-2784-dup-0,match
febrl4a-rec-3884-org,febrl4b-rec-3884-dup-0,match
febrl4a-rec-4299-org,febrl4b-rec-4299-dup-0,match
febrl4a-rec-689-org,febrl4b-rec-689-dup-0,match
febrl4a-rec-452-org,febrl4b-rec-452-dup-0,match
febrl4a-rec-635-org,febrl4b-rec-635-dup-0,match
febrl4a-rec-3826-org,febrl4b-rec-3826-dup-0,match
febrl4a-rec-2992-org,febrl4b-rec-2992-dup-0,match
febrl4a-rec-2666-org,febrl4b-rec-2666-dup-0,match
febrl4a-rec-4000-org,febrl4b-rec-4000-dup-0,match
febrl4a-rec-3923-org,febrl4b-rec-3923-dup-0,match
febrl4a-rec-1758-org,febrl4b-rec-1758-dup-0,match
febrl4a-rec-471-org,febrl4b-rec-471-dup-0,match
febrl4a-rec-676-org,febrl4b-rec-676-dup-0,match
febrl4a-rec-3548-org,febrl4b-rec-3548-dup-0,match
febrl4a-rec-1448-org,febrl4b-rec-1448-dup-0,match
febrl4a-rec-4077-org,febrl4b-rec-4077-dup-0,match
febrl4a-rec-3271-org,febrl4b-rec-3271-dup-0,match
febrl4a-rec-4265-org,febrl4b-rec-4265-dup-0,match
febrl4a-rec-3172-org,febrl4b-rec-3172-dup-0,match
febrl4a-rec-759-org,febrl4b-rec-759-dup-0,match
febrl4a-rec-1601-org,febrl4b-rec-1601-dup-0,match
febrl4a-rec-3385-org,febrl4b-rec-3385-dup-0,match
febrl4a-rec-4601-org,febrl4b-rec-4601-dup-0,match
febrl4a-rec-1761-org,febrl4b-rec-1761-dup-0,match
febrl4a-rec-286-org,febrl4b-rec-286-dup-0,match
febrl4a-rec-2815-org,febrl4b-rec-2815-dup-0,match
febrl4a-rec-1327-org,febrl4b-rec-1327-dup-0,match
febrl4a-rec-3394-org,febrl4b-rec-3394-dup-0,match
febrl4a-rec-2473-org,febrl4b-rec-2473-dup-0,match
febrl4a-rec-2256-org,febrl4b-rec-2256-dup-0,match
febrl4a-rec-4338-org,febrl4b-rec-4338-dup-0,match
febrl4a-rec-2557-org,febrl4b-rec-2557-dup-0,match
febrl4a-rec-1767-org,febrl4b-rec-1767-dup-0,match
febrl4a-rec-2792-org,febrl4b-rec-2792-dup-0,match
febrl4a-rec-4579-org,febrl4b-rec-4579-dup-0,match
febrl4a-rec-3533-org,febrl4b-rec-3533-dup-0,match
febrl4a-rec-3140-org,febrl4b-rec-3140-dup-0,match
febrl4a-rec-2293-org,febrl4b-rec-2293-dup-0,match
febrl4a-rec-2036-org,febrl4b-rec-2036-dup-0,match
febrl4a-rec-1539-org,febrl4b-rec-1539-dup-0,match
febrl4a-rec-750-org,febrl4b-rec-750-dup-0,match
febrl4a-rec-601-org,febrl4b-rec-601-dup-0,match
febrl4a-rec-1789-org,febrl4b-rec-1789-dup-0,match
febrl4a-rec-4063-org,febrl4b-rec-4063-dup-0,match
febrl4a-rec-3824-org,febrl4b-rec-3824-dup-0,match
febrl4a-rec-1748-org,febrl4b-rec-1748-dup-0,match
febrl4a-rec-60-org,febrl4b-rec-60-dup-0,match
febrl4a-rec-1250-org,febrl4b-rec-1250-dup-0,match
febrl4a-rec-3265-org,febrl4b-rec-3265-dup-0,match
febrl4a-rec-4361-org,febrl4b-rec-4361-dup-0,match
febrl4a-rec-2711-org,febrl4b-rec-2711-dup-0,match
febrl4a-rec-962-org,febrl4b-rec-962-dup-0,match
febrl4a-rec-2062-org,febrl4b-rec-2062-dup-0,match
febrl4a-rec-2117-org,febrl4b-rec-2117-dup-0,match
febrl4a-rec-1444-org,febrl4b-rec-1444-dup-0,match
febrl4a-rec-802-org,febrl4b-rec-802-dup-0,match
febrl4a-rec-3980-org,febrl4b-rec-3980-dup-0,match
febrl4a-rec-4242-org,febrl4b-rec-4242-dup-0,match
febrl4a-rec-22-org,febrl4b-rec-22-dup-0,match
febrl4a-rec-993-org,febrl4b-rec-993-dup-0,match
