record id 1,record id 2,confidence score,link type
febrl4a-rec-970-org,febrl4b-rec-970-dup-0,1.0,dup
febrl4a-rec-97-org,febrl4b-rec-97-dup-0,1.0,dup
febrl4a-rec-969-org,febrl4b-rec-969-dup-0,1.0,dup
febrl4a-rec-968-org,febrl4b-rec-968-dup-0,1.0,dup
febrl4a-rec-967-org,febrl4b-rec-967-dup-0,1.0,dup
febrl4a-rec-966-org,febrl4b-rec-966-dup-0,1.0,dup
febrl4a-rec-965-org,febrl4b-rec-965-dup-0,1.0,dup
febrl4a-rec-964-org,febrl4b-rec-964-dup-0,1.0,dup
febrl4a-rec-963-org,febrl4b-rec-963-dup-0,1.0,dup
febrl4a-rec-962-org,febrl4b-rec-962-dup-0,1.0,dup
febrl4a-rec-961-org,febrl4b-rec-961-dup-0,1.0,dup
febrl4a-rec-960-org,febrl4b-rec-960-dup-0,1.0,dup
febrl4a-rec-96-org,febrl4b-rec-96-dup-0,1.0,dup
febrl4a-rec-959-org,febrl4b-rec-959-dup-0,1.0,dup
febrl4a-rec-958-org,febrl4b-rec-958-dup-0,1.0,dup
febrl4a-rec-957-org,febrl4b-rec-957-dup-0,1.0,dup
febrl4a-rec-956-org,febrl4b-rec-956-dup-0,1.0,dup
febrl4a-rec-955-org,febrl4b-rec-955-dup-0,1.0,dup
febrl4a-rec-954-org,febrl4b-rec-954-dup-0,1.0,dup
febrl4a-rec-953-org,febrl4b-rec-953-dup-0,1.0,dup
febrl4a-rec-952-org,febrl4b-rec-952-dup-0,1.0,dup
febrl4a-rec-951-org,febrl4b-rec-951-dup-0,1.0,dup
febrl4a-rec-950-org,febrl4b-rec-950-dup-0,1.0,dup
febrl4a-rec-95-org,febrl4b-rec-95-dup-0,1.0,dup
febrl4a-rec-949-org,febrl4b-rec-949-dup-0,1.0,dup
febrl4a-rec-948-org,febrl4b-rec-948-dup-0,1.0,dup
febrl4a-rec-947-org,febrl4b-rec-947-dup-0,1.0,dup
febrl4a-rec-946-org,febrl4b-rec-946-dup-0,1.0,dup
febrl4a-rec-945-org,febrl4b-rec-945-dup-0,1.0,dup
febrl4a-rec-943-org,febrl4b-rec-943-dup-0,1.0,dup
febrl4a-rec-942-org,febrl4b-rec-942-dup-0,1.0,dup
febrl4a-rec-941-org,febrl4b-rec-941-dup-0,1.0,dup
febrl4a-rec-940-org,febrl4b-rec-940-dup-0,1.0,dup
febrl4a-rec-94-org,febrl4b-rec-94-dup-0,1.0,dup
febrl4a-rec-939-org,febrl4b-rec-939-dup-0,1.0,dup
febrl4a-rec-938-org,febrl4b-rec-938-dup-0,1.0,dup
febrl4a-rec-937-org,febrl4b-rec-937-dup-0,1.0,dup
febrl4a-rec-936-org,febrl4b-rec-936-dup-0,1.0,dup
febrl4a-rec-935-org,febrl4b-rec-935-dup-0,1.0,dup
febrl4a-rec-934-org,febrl4b-rec-934-dup-0,1.0,dup
febrl4a-rec-933-org,febrl4b-rec-933-dup-0,1.0,dup
febrl4a-rec-932-org,febrl4b-rec-932-dup-0,1.0,dup
febrl4a-rec-931-org,febrl4b-rec-931-dup-0,1.0,dup
febrl4a-rec-930-org,febrl4b-rec-930-dup-0,1.0,dup
febrl4a-rec-93-org,febrl4b-rec-93-dup-0,1.0,dup
febrl4a-rec-929-org,febrl4b-rec-929-dup-0,1.0,dup
febrl4a-rec-928-org,febrl4b-rec-928-dup-0,1.0,dup
febrl4a-rec-927-org,febrl4b-rec-927-dup-0,1.0,dup
febrl4a-rec-926-org,febrl4b-rec-926-dup-0,1.0,dup
febrl4a-rec-925-org,febrl4b-rec-925-dup-0,1.0,dup
febrl4a-rec-924-org,febrl4b-rec-924-dup-0,1.0,dup
febrl4a-rec-923-org,febrl4b-rec-923-dup-0,1.0,dup
febrl4a-rec-922-org,febrl4b-rec-922-dup-0,1.0,dup
febrl4a-rec-921-org,febrl4b-rec-921-dup-0,1.0,dup
febrl4a-rec-920-org,febrl4b-rec-920-dup-0,1.0,dup
febrl4a-rec-92-org,febrl4b-rec-92-dup-0,1.0,dup
febrl4a-rec-919-org,febrl4b-rec-919-dup-0,1.0,dup
febrl4a-rec-918-org,febrl4b-rec-918-dup-0,1.0,dup
febrl4a-rec-917-org,febrl4b-rec-917-dup-0,1.0,dup
febrl4a-rec-916-org,febrl4b-rec-916-dup-0,1.0,dup
febrl4a-rec-915-org,febrl4b-rec-915-dup-0,1.0,dup
febrl4a-rec-914-org,febrl4b-rec-914-dup-0,1.0,dup
febrl4a-rec-913-org,febrl4b-rec-913-dup-0,1.0,dup
febrl4a-rec-912-org,febrl4b-rec-912-dup-0,1.0,dup
febrl4a-rec-911-org,febrl4b-rec-911-dup-0,1.0,dup
febrl4a-rec-910-org,febrl4b-rec-910-dup-0,1.0,dup
febrl4a-rec-91-org,febrl4b-rec-91-dup-0,1.0,dup
febrl4a-rec-909-org,febrl4b-rec-909-dup-0,1.0,dup
febrl4a-rec-908-org,febrl4b-rec-908-dup-0,1.0,dup
febrl4a-rec-907-org,febrl4b-rec-907-dup-0,1.0,dup
febrl4a-rec-906-org,febrl4b-rec-906-dup-0,1.0,dup
febrl4a-rec-905-org,febrl4b-rec-905-dup-0,1.0,dup
febrl4a-rec-904-org,febrl4b-rec-904-dup-0,1.0,dup
febrl4a-rec-903-org,febrl4b-rec-903-dup-0,1.0,dup
febrl4a-rec-902-org,febrl4b-rec-902-dup-0,1.0,dup
febrl4a-rec-901-org,febrl4b-rec-901-dup-0,1.0,dup
febrl4a-rec-900-org,febrl4b-rec-900-dup-0,1.0,dup
febrl4a-rec-90-org,febrl4b-rec-90-dup-0,1.0,dup
febrl4a-rec-9-org,febrl4b-rec-9-dup-0,1.0,dup
febrl4a-rec-899-org,febrl4b-rec-899-dup-0,1.0,dup
febrl4a-rec-898-org,febrl4b-rec-898-dup-0,1.0,dup
febrl4a-rec-897-org,febrl4b-rec-897-dup-0,1.0,dup
febrl4a-rec-896-org,febrl4b-rec-896-dup-0,1.0,dup
febrl4a-rec-895-org,febrl4b-rec-895-dup-0,1.0,dup
febrl4a-rec-894-org,febrl4b-rec-894-dup-0,1.0,dup
febrl4a-rec-893-org,febrl4b-rec-893-dup-0,1.0,dup
febrl4a-rec-892-org,febrl4b-rec-892-dup-0,1.0,dup
febrl4a-rec-891-org,febrl4b-rec-891-dup-0,1.0,dup
febrl4a-rec-890-org,febrl4b-rec-890-dup-0,1.0,dup
febrl4a-rec-89-org,febrl4b-rec-89-dup-0,1.0,dup
febrl4a-rec-889-org,febrl4b-rec-889-dup-0,1.0,dup
febrl4a-rec-888-org,febrl4b-rec-888-dup-0,1.0,dup
febrl4a-rec-887-org,febrl4b-rec-887-dup-0,1.0,dup
febrl4a-rec-886-org,febrl4b-rec-886-dup-0,1.0,dup
febrl4a-rec-885-org,febrl4b-rec-885-dup-0,1.0,dup
febrl4a-rec-884-org,febrl4b-rec-884-dup-0,1.0,dup
febrl4a-rec-883-org,febrl4b-rec-883-dup-0,1.0,dup
febrl4a-rec-882-org,febrl4b-rec-882-dup-0,1.0,dup
febrl4a-rec-881-org,febrl4b-rec-881-dup-0,1.0,dup
febrl4a-rec-880-org,febrl4b-rec-880-dup-0,1.0,dup
febrl4a-rec-88-org,febrl4b-rec-88-dup-0,1.0,dup
febrl4a-rec-879-org,febrl4b-rec-879-dup-0,1.0,dup
febrl4a-rec-878-org,febrl4b-rec-878-dup-0,1.0,dup
febrl4a-rec-877-org,febrl4b-rec-877-dup-0,1.0,dup
febrl4a-rec-876-org,febrl4b-rec-876-dup-0,1.0,dup
febrl4a-rec-875-org,febrl4b-rec-875-dup-0,1.0,dup
febrl4a-rec-874-org,febrl4b-rec-874-dup-0,1.0,dup
febrl4a-rec-873-org,febrl4b-rec-873-dup-0,1.0,dup
febrl4a-rec-872-org,febrl4b-rec-872-dup-0,1.0,dup
febrl4a-rec-871-org,febrl4b-rec-871-dup-0,1.0,dup
febrl4a-rec-870-org,febrl4b-rec-870-dup-0,1.0,dup
febrl4a-rec-87-org,febrl4b-rec-87-dup-0,1.0,dup
febrl4a-rec-869-org,febrl4b-rec-869-dup-0,1.0,dup
febrl4a-rec-868-org,febrl4b-rec-868-dup-0,1.0,dup
febrl4a-rec-867-org,febrl4b-rec-867-dup-0,1.0,dup
febrl4a-rec-866-org,febrl4b-rec-866-dup-0,1.0,dup
febrl4a-rec-865-org,febrl4b-rec-865-dup-0,1.0,dup
febrl4a-rec-864-org,febrl4b-rec-864-dup-0,1.0,dup
febrl4a-rec-863-org,febrl4b-rec-863-dup-0,1.0,dup
febrl4a-rec-862-org,febrl4b-rec-862-dup-0,1.0,dup
febrl4a-rec-861-org,febrl4b-rec-861-dup-0,1.0,dup
febrl4a-rec-860-org,febrl4b-rec-860-dup-0,1.0,dup
febrl4a-rec-86-org,febrl4b-rec-86-dup-0,1.0,dup
febrl4a-rec-859-org,febrl4b-rec-859-dup-0,1.0,dup
febrl4a-rec-858-org,febrl4b-rec-858-dup-0,1.0,dup
febrl4a-rec-857-org,febrl4b-rec-857-dup-0,1.0,dup
febrl4a-rec-856-org,febrl4b-rec-856-dup-0,1.0,dup
febrl4a-rec-855-org,febrl4b-rec-855-dup-0,1.0,dup
febrl4a-rec-854-org,febrl4b-rec-854-dup-0,1.0,dup
febrl4a-rec-853-org,febrl4b-rec-853-dup-0,1.0,dup
febrl4a-rec-852-org,febrl4b-rec-852-dup-0,1.0,dup
febrl4a-rec-851-org,febrl4b-rec-851-dup-0,1.0,dup
febrl4a-rec-850-org,febrl4b-rec-850-dup-0,1.0,dup
febrl4a-rec-85-org,febrl4b-rec-85-dup-0,1.0,dup
febrl4a-rec-849-org,febrl4b-rec-849-dup-0,1.0,dup
febrl4a-rec-848-org,febrl4b-rec-848-dup-0,1.0,dup
febrl4a-rec-847-org,febrl4b-rec-847-dup-0,1.0,dup
febrl4a-rec-846-org,febrl4b-rec-846-dup-0,1.0,dup
febrl4a-rec-845-org,febrl4b-rec-845-dup-0,1.0,dup
febrl4a-rec-844-org,febrl4b-rec-844-dup-0,1.0,dup
febrl4a-rec-843-org,febrl4b-rec-843-dup-0,1.0,dup
febrl4a-rec-842-org,febrl4b-rec-842-dup-0,1.0,dup
febrl4a-rec-841-org,febrl4b-rec-841-dup-0,1.0,dup
febrl4a-rec-840-org,febrl4b-rec-840-dup-0,1.0,dup
febrl4a-rec-84-org,febrl4b-rec-84-dup-0,1.0,dup
febrl4a-rec-839-org,febrl4b-rec-839-dup-0,1.0,dup
febrl4a-rec-838-org,febrl4b-rec-838-dup-0,1.0,dup
febrl4a-rec-837-org,febrl4b-rec-837-dup-0,1.0,dup
febrl4a-rec-836-org,febrl4b-rec-836-dup-0,1.0,dup
febrl4a-rec-835-org,febrl4b-rec-835-dup-0,1.0,dup
febrl4a-rec-834-org,febrl4b-rec-834-dup-0,1.0,dup
febrl4a-rec-833-org,febrl4b-rec-833-dup-0,1.0,dup
febrl4a-rec-832-org,febrl4b-rec-832-dup-0,1.0,dup
febrl4a-rec-831-org,febrl4b-rec-831-dup-0,1.0,dup
febrl4a-rec-830-org,febrl4b-rec-830-dup-0,1.0,dup
febrl4a-rec-83-org,febrl4b-rec-83-dup-0,1.0,dup
febrl4a-rec-829-org,febrl4b-rec-829-dup-0,1.0,dup
febrl4a-rec-828-org,febrl4b-rec-828-dup-0,1.0,dup
febrl4a-rec-826-org,febrl4b-rec-826-dup-0,1.0,dup
febrl4a-rec-825-org,febrl4b-rec-825-dup-0,1.0,dup
febrl4a-rec-824-org,febrl4b-rec-824-dup-0,1.0,dup
febrl4a-rec-823-org,febrl4b-rec-823-dup-0,1.0,dup
febrl4a-rec-822-org,febrl4b-rec-822-dup-0,1.0,dup
febrl4a-rec-821-org,febrl4b-rec-821-dup-0,1.0,dup
febrl4a-rec-820-org,febrl4b-rec-820-dup-0,1.0,dup
febrl4a-rec-82-org,febrl4b-rec-82-dup-0,1.0,dup
febrl4a-rec-819-org,febrl4b-rec-819-dup-0,1.0,dup
febrl4a-rec-818-org,febrl4b-rec-818-dup-0,1.0,dup
febrl4a-rec-817-org,febrl4b-rec-817-dup-0,1.0,dup
febrl4a-rec-816-org,febrl4b-rec-816-dup-0,1.0,dup
febrl4a-rec-815-org,febrl4b-rec-815-dup-0,1.0,dup
febrl4a-rec-814-org,febrl4b-rec-814-dup-0,1.0,dup
febrl4a-rec-813-org,febrl4b-rec-813-dup-0,1.0,dup
febrl4a-rec-812-org,febrl4b-rec-812-dup-0,1.0,dup
febrl4a-rec-811-org,febrl4b-rec-811-dup-0,1.0,dup
febrl4a-rec-810-org,febrl4b-rec-810-dup-0,1.0,dup
febrl4a-rec-81-org,febrl4b-rec-81-dup-0,1.0,dup
febrl4a-rec-809-org,febrl4b-rec-809-dup-0,1.0,dup
febrl4a-rec-808-org,febrl4b-rec-808-dup-0,1.0,dup
febrl4a-rec-807-org,febrl4b-rec-807-dup-0,1.0,dup
febrl4a-rec-806-org,febrl4b-rec-806-dup-0,1.0,dup
febrl4a-rec-805-org,febrl4b-rec-805-dup-0,1.0,dup
febrl4a-rec-804-org,febrl4b-rec-804-dup-0,1.0,dup
febrl4a-rec-803-org,febrl4b-rec-803-dup-0,1.0,dup
febrl4a-rec-802-org,febrl4b-rec-802-dup-0,1.0,dup
febrl4a-rec-801-org,febrl4b-rec-801-dup-0,1.0,dup
febrl4a-rec-800-org,febrl4b-rec-800-dup-0,1.0,dup
febrl4a-rec-80-org,febrl4b-rec-80-dup-0,1.0,dup
febrl4a-rec-8-org,febrl4b-rec-8-dup-0,1.0,dup
febrl4a-rec-799-org,febrl4b-rec-799-dup-0,1.0,dup
febrl4a-rec-798-org,febrl4b-rec-798-dup-0,1.0,dup
febrl4a-rec-797-org,febrl4b-rec-797-dup-0,1.0,dup
febrl4a-rec-796-org,febrl4b-rec-796-dup-0,1.0,dup
febrl4a-rec-795-org,febrl4b-rec-795-dup-0,1.0,dup
febrl4a-rec-794-org,febrl4b-rec-794-dup-0,1.0,dup
febrl4a-rec-793-org,febrl4b-rec-793-dup-0,1.0,dup
febrl4a-rec-792-org,febrl4b-rec-792-dup-0,1.0,dup
febrl4a-rec-791-org,febrl4b-rec-791-dup-0,1.0,dup
febrl4a-rec-790-org,febrl4b-rec-790-dup-0,1.0,dup
febrl4a-rec-79-org,febrl4b-rec-79-dup-0,1.0,dup
febrl4a-rec-789-org,febrl4b-rec-789-dup-0,1.0,dup
febrl4a-rec-788-org,febrl4b-rec-788-dup-0,1.0,dup
febrl4a-rec-787-org,febrl4b-rec-787-dup-0,1.0,dup
febrl4a-rec-786-org,febrl4b-rec-786-dup-0,1.0,dup
febrl4a-rec-785-org,febrl4b-rec-785-dup-0,1.0,dup
febrl4a-rec-784-org,febrl4b-rec-784-dup-0,1.0,dup
febrl4a-rec-783-org,febrl4b-rec-783-dup-0,1.0,dup
febrl4a-rec-782-org,febrl4b-rec-782-dup-0,1.0,dup
febrl4a-rec-781-org,febrl4b-rec-781-dup-0,1.0,dup
febrl4a-rec-780-org,febrl4b-rec-780-dup-0,1.0,dup
febrl4a-rec-78-org,febrl4b-rec-78-dup-0,1.0,dup
febrl4a-rec-779-org,febrl4b-rec-779-dup-0,1.0,dup
febrl4a-rec-778-org,febrl4b-rec-778-dup-0,1.0,dup
febrl4a-rec-777-org,febrl4b-rec-777-dup-0,1.0,dup
febrl4a-rec-776-org,febrl4b-rec-776-dup-0,1.0,dup
febrl4a-rec-775-org,febrl4b-rec-775-dup-0,1.0,dup
febrl4a-rec-774-org,febrl4b-rec-774-dup-0,1.0,dup
febrl4a-rec-773-org,febrl4b-rec-773-dup-0,1.0,dup
febrl4a-rec-772-org,febrl4b-rec-772-dup-0,1.0,dup
febrl4a-rec-771-org,febrl4b-rec-771-dup-0,1.0,dup
febrl4a-rec-770-org,febrl4b-rec-770-dup-0,1.0,dup
febrl4a-rec-77-org,febrl4b-rec-77-dup-0,1.0,dup
febrl4a-rec-769-org,febrl4b-rec-769-dup-0,1.0,dup
febrl4a-rec-768-org,febrl4b-rec-768-dup-0,1.0,dup
febrl4a-rec-767-org,febrl4b-rec-767-dup-0,1.0,dup
febrl4a-rec-766-org,febrl4b-rec-766-dup-0,1.0,dup
febrl4a-rec-765-org,febrl4b-rec-765-dup-0,1.0,dup
febrl4a-rec-764-org,febrl4b-rec-764-dup-0,1.0,dup
febrl4a-rec-763-org,febrl4b-rec-763-dup-0,1.0,dup
febrl4a-rec-762-org,febrl4b-rec-762-dup-0,1.0,dup
febrl4a-rec-761-org,febrl4b-rec-761-dup-0,1.0,dup
febrl4a-rec-760-org,febrl4b-rec-760-dup-0,1.0,dup
febrl4a-rec-76-org,febrl4b-rec-76-dup-0,1.0,dup
febrl4a-rec-759-org,febrl4b-rec-759-dup-0,1.0,dup
febrl4a-rec-758-org,febrl4b-rec-758-dup-0,1.0,dup
febrl4a-rec-757-org,febrl4b-rec-757-dup-0,1.0,dup
febrl4a-rec-756-org,febrl4b-rec-756-dup-0,1.0,dup
febrl4a-rec-755-org,febrl4b-rec-755-dup-0,1.0,dup
febrl4a-rec-754-org,febrl4b-rec-754-dup-0,1.0,dup
febrl4a-rec-753-org,febrl4b-rec-753-dup-0,1.0,dup
febrl4a-rec-752-org,febrl4b-rec-752-dup-0,1.0,dup
febrl4a-rec-751-org,febrl4b-rec-751-dup-0,1.0,dup
febrl4a-rec-750-org,febrl4b-rec-750-dup-0,1.0,dup
febrl4a-rec-75-org,febrl4b-rec-75-dup-0,1.0,dup
febrl4a-rec-749-org,febrl4b-rec-749-dup-0,1.0,dup
febrl4a-rec-748-org,febrl4b-rec-748-dup-0,1.0,dup
febrl4a-rec-747-org,febrl4b-rec-747-dup-0,1.0,dup
febrl4a-rec-746-org,febrl4b-rec-746-dup-0,1.0,dup
febrl4a-rec-745-org,febrl4b-rec-745-dup-0,1.0,dup
febrl4a-rec-744-org,febrl4b-rec-744-dup-0,1.0,dup
febrl4a-rec-743-org,febrl4b-rec-743-dup-0,1.0,dup
febrl4a-rec-742-org,febrl4b-rec-742-dup-0,1.0,dup
febrl4a-rec-741-org,febrl4b-rec-741-dup-0,1.0,dup
febrl4a-rec-740-org,febrl4b-rec-740-dup-0,1.0,dup
febrl4a-rec-74-org,febrl4b-rec-74-dup-0,1.0,dup
febrl4a-rec-739-org,febrl4b-rec-739-dup-0,1.0,dup
febrl4a-rec-738-org,febrl4b-rec-738-dup-0,1.0,dup
febrl4a-rec-737-org,febrl4b-rec-737-dup-0,1.0,dup
febrl4a-rec-736-org,febrl4b-rec-736-dup-0,1.0,dup
febrl4a-rec-735-org,febrl4b-rec-735-dup-0,1.0,dup
febrl4a-rec-734-org,febrl4b-rec-734-dup-0,1.0,dup
febrl4a-rec-733-org,febrl4b-rec-733-dup-0,1.0,dup
febrl4a-rec-732-org,febrl4b-rec-732-dup-0,1.0,dup
febrl4a-rec-731-org,febrl4b-rec-731-dup-0,1.0,dup
febrl4a-rec-730-org,febrl4b-rec-730-dup-0,1.0,dup
febrl4a-rec-73-org,febrl4b-rec-73-dup-0,1.0,dup
febrl4a-rec-729-org,febrl4b-rec-729-dup-0,1.0,dup
febrl4a-rec-728-org,febrl4b-rec-728-dup-0,1.0,dup
febrl4a-rec-727-org,febrl4b-rec-727-dup-0,1.0,dup
febrl4a-rec-726-org,febrl4b-rec-726-dup-0,1.0,dup
febrl4a-rec-725-org,febrl4b-rec-725-dup-0,1.0,dup
febrl4a-rec-724-org,febrl4b-rec-724-dup-0,1.0,dup
febrl4a-rec-723-org,febrl4b-rec-723-dup-0,1.0,dup
febrl4a-rec-722-org,febrl4b-rec-722-dup-0,1.0,dup
febrl4a-rec-721-org,febrl4b-rec-721-dup-0,1.0,dup
febrl4a-rec-720-org,febrl4b-rec-720-dup-0,1.0,dup
febrl4a-rec-72-org,febrl4b-rec-72-dup-0,1.0,dup
febrl4a-rec-719-org,febrl4b-rec-719-dup-0,1.0,dup
febrl4a-rec-718-org,febrl4b-rec-718-dup-0,1.0,dup
febrl4a-rec-717-org,febrl4b-rec-717-dup-0,1.0,dup
febrl4a-rec-716-org,febrl4b-rec-716-dup-0,1.0,dup
febrl4a-rec-715-org,febrl4b-rec-715-dup-0,1.0,dup
febrl4a-rec-714-org,febrl4b-rec-714-dup-0,1.0,dup
febrl4a-rec-713-org,febrl4b-rec-713-dup-0,1.0,dup
febrl4a-rec-712-org,febrl4b-rec-712-dup-0,1.0,dup
febrl4a-rec-711-org,febrl4b-rec-711-dup-0,1.0,dup
febrl4a-rec-710-org,febrl4b-rec-710-dup-0,1.0,dup
febrl4a-rec-71-org,febrl4b-rec-71-dup-0,1.0,dup
febrl4a-rec-709-org,febrl4b-rec-709-dup-0,1.0,dup
febrl4a-rec-708-org,febrl4b-rec-708-dup-0,1.0,dup
febrl4a-rec-707-org,febrl4b-rec-707-dup-0,1.0,dup
febrl4a-rec-706-org,febrl4b-rec-706-dup-0,1.0,dup
febrl4a-rec-705-org,febrl4b-rec-705-dup-0,1.0,dup
febrl4a-rec-704-org,febrl4b-rec-704-dup-0,1.0,dup
febrl4a-rec-703-org,febrl4b-rec-703-dup-0,1.0,dup
febrl4a-rec-702-org,febrl4b-rec-702-dup-0,1.0,dup
febrl4a-rec-701-org,febrl4b-rec-701-dup-0,1.0,dup
febrl4a-rec-700-org,febrl4b-rec-700-dup-0,1.0,dup
febrl4a-rec-70-org,febrl4b-rec-70-dup-0,1.0,dup
febrl4a-rec-7-org,febrl4b-rec-7-dup-0,1.0,dup
febrl4a-rec-699-org,febrl4b-rec-699-dup-0,1.0,dup
febrl4a-rec-698-org,febrl4b-rec-698-dup-0,1.0,dup
febrl4a-rec-697-org,febrl4b-rec-697-dup-0,1.0,dup
febrl4a-rec-696-org,febrl4b-rec-696-dup-0,1.0,dup
febrl4a-rec-695-org,febrl4b-rec-695-dup-0,1.0,dup
febrl4a-rec-694-org,febrl4b-rec-694-dup-0,1.0,dup
febrl4a-rec-693-org,febrl4b-rec-693-dup-0,1.0,dup
febrl4a-rec-691-org,febrl4b-rec-691-dup-0,1.0,dup
febrl4a-rec-690-org,febrl4b-rec-690-dup-0,1.0,dup
febrl4a-rec-69-org,febrl4b-rec-69-dup-0,1.0,dup
febrl4a-rec-689-org,febrl4b-rec-689-dup-0,1.0,dup
febrl4a-rec-688-org,febrl4b-rec-688-dup-0,1.0,dup
febrl4a-rec-687-org,febrl4b-rec-687-dup-0,1.0,dup
febrl4a-rec-686-org,febrl4b-rec-686-dup-0,1.0,dup
febrl4a-rec-685-org,febrl4b-rec-685-dup-0,1.0,dup
febrl4a-rec-684-org,febrl4b-rec-684-dup-0,1.0,dup
febrl4a-rec-683-org,febrl4b-rec-683-dup-0,1.0,dup
febrl4a-rec-682-org,febrl4b-rec-682-dup-0,1.0,dup
febrl4a-rec-681-org,febrl4b-rec-681-dup-0,1.0,dup
febrl4a-rec-680-org,febrl4b-rec-680-dup-0,1.0,dup
febrl4a-rec-68-org,febrl4b-rec-68-dup-0,1.0,dup
febrl4a-rec-679-org,febrl4b-rec-679-dup-0,1.0,dup
febrl4a-rec-678-org,febrl4b-rec-678-dup-0,1.0,dup
febrl4a-rec-676-org,febrl4b-rec-676-dup-0,1.0,dup
febrl4a-rec-675-org,febrl4b-rec-675-dup-0,1.0,dup
febrl4a-rec-674-org,febrl4b-rec-674-dup-0,1.0,dup
febrl4a-rec-673-org,febrl4b-rec-673-dup-0,1.0,dup
febrl4a-rec-672-org,febrl4b-rec-672-dup-0,1.0,dup
febrl4a-rec-671-org,febrl4b-rec-671-dup-0,1.0,dup
febrl4a-rec-670-org,febrl4b-rec-670-dup-0,1.0,dup
febrl4a-rec-67-org,febrl4b-rec-67-dup-0,1.0,dup
febrl4a-rec-669-org,febrl4b-rec-669-dup-0,1.0,dup
febrl4a-rec-668-org,febrl4b-rec-668-dup-0,1.0,dup
febrl4a-rec-667-org,febrl4b-rec-667-dup-0,1.0,dup
febrl4a-rec-666-org,febrl4b-rec-666-dup-0,1.0,dup
febrl4a-rec-665-org,febrl4b-rec-665-dup-0,1.0,dup
febrl4a-rec-664-org,febrl4b-rec-664-dup-0,1.0,dup
febrl4a-rec-663-org,febrl4b-rec-663-dup-0,1.0,dup
febrl4a-rec-661-org,febrl4b-rec-661-dup-0,1.0,dup
febrl4a-rec-660-org,febrl4b-rec-660-dup-0,1.0,dup
febrl4a-rec-66-org,febrl4b-rec-66-dup-0,1.0,dup
febrl4a-rec-659-org,febrl4b-rec-659-dup-0,1.0,dup
febrl4a-rec-658-org,febrl4b-rec-658-dup-0,1.0,dup
febrl4a-rec-657-org,febrl4b-rec-657-dup-0,1.0,dup
febrl4a-rec-656-org,febrl4b-rec-656-dup-0,1.0,dup
febrl4a-rec-655-org,febrl4b-rec-655-dup-0,1.0,dup
febrl4a-rec-654-org,febrl4b-rec-654-dup-0,1.0,dup
febrl4a-rec-653-org,febrl4b-rec-653-dup-0,1.0,dup
febrl4a-rec-652-org,febrl4b-rec-652-dup-0,1.0,dup
febrl4a-rec-651-org,febrl4b-rec-651-dup-0,1.0,dup
febrl4a-rec-650-org,febrl4b-rec-650-dup-0,1.0,dup
febrl4a-rec-65-org,febrl4b-rec-65-dup-0,1.0,dup
febrl4a-rec-649-org,febrl4b-rec-649-dup-0,1.0,dup
febrl4a-rec-648-org,febrl4b-rec-648-dup-0,1.0,dup
febrl4a-rec-647-org,febrl4b-rec-647-dup-0,1.0,dup
febrl4a-rec-646-org,febrl4b-rec-646-dup-0,1.0,dup
febrl4a-rec-645-org,febrl4b-rec-645-dup-0,1.0,dup
